HotelID,HotelName,HotelStarRating,HotelAddress,HotelPhone,HotelEmail,HotelWebsite,room_type,Reviews_count,bed_type,HotelAmenities,NumberOfRooms,AverageRoomRateUSD,CheckInTime,CheckOutTime,LastRenovationDate,DistanceToAirport,RatingAverage,BookingURL,distance_to_center,breakfast,cancellation_policy,prepayment_policy
15,Royal Garden Hotel,4,"1 Bakikhanov Street, Yasamal District, Baku, Azerbaijan",+994 12 123 4567,info@royalgarden.az,www.royalgarden.az,N/A,189 Reviews,N/A,"Free Wi-Fi, Spa Services, Fitness Center, 3 On-site Restaurants, Outdoor Pool, Concierge Services, 24-hour Room Service",183,150$,N/A,N/A,2021,28.5 km,8.3,https://www.planetofhotels.com/en/azerbaijan/baku/royal-garden-hotel,2,Included,Free cancellation,Prepayment needed
16,Grand Hotel Europe ,5,"22 Tbilisi Avenue, Baku, Azerbaijan",+994 12 490 70 90,sales@grand-europe.az,www.grandhoteleuropebaku.com,N/A,144 Reviews,N/A,"Spa, Conference Facilities, Free Wi-Fi, Restaurant, Bar, Nightclub, Billiards Room, Airport Shuttle Service",75,225$,N/A,N/A,2022,28 km,8,https://www.booking.com/hotel/az/grand-hotel-europe,1.5,Included,Free cancellation,No prepayment needed
17,Golden Coast Hotel ,5,"14 Mikail Useynov Street, Baku, Azerbaijan","+994 12 491 5200, +994 51 291 6931",info@goldencoast.az,www.goldencoasthotelbaku.com,N/A,276 Reviews,N/A,"Spa, Fitness Center, Indoor Pool, Free Wi-Fi, Conference Facilities, Restaurant, Bar, Sauna",125,200$,N/A,N/A,2018,30 km,8.2,https://www.booking.com/hotel/az/golden-coast,1.7,Included,Free cancellation,Prepayment needed
18,Winter Park Hotel ,4,"210 M. Aliyev Street, Nasimi District, AZ1015, Baku, Azerbaijan",+994 12 599 9199,reservation@winterparkhotel.net,www.winterparkhotelbaku.com,N/A,3143 Reviews,N/A,"Free Wi-Fi, Airport Shuttle, Free Parking, Spa, Fitness Center, Family Rooms, Non-Smoking Rooms, Restaurant, Tea/Coffee Maker in All Rooms",170,145$,N/A,N/A,2017,25 km,9.1,https://www.booking.com/hotel/az/winter-park,1.3,Included,Free cancellation,No prepayment needed
19,Park Inn by Radisson ,4,"1 Azadlig Avenue, Baku, Azerbaijan",+994 12 490 6000,info@parkinn-baku.com,www.parkinnbaku.com,N/A,672 Reviews,N/A,"Free Wi-Fi, Fitness Center, Restaurant, Bar, Conference Facilities, 24-Hour Room Service, Business Center",255,155$,N/A,N/A,2018,24 km,8.4,https://www.booking.com/hotel/az/park-inn-radisson-baku,0.9,Included,Free cancellation,No prepayment needed
20,Ramada by Wyndham ,5,"Salyan Highway, Shikhov Beach 1023, Baku, Azerbaijan",+994 12 491 7303,"sales@ramadabaku.com, info@ramadabaku.com",www.ramadabaku.com,N/A,1505 Reviews,N/A,"Outdoor Pool, Indoor Pool, Private Beach, Spa, Fitness Center, Free Wi-Fi, Restaurant, Bar, Business Center, Conference Facilities",79,140$,N/A,N/A,2024,35 km,7.2,https://www.booking.com/hotel/az/ramada-wyndham-baku,7.8,Not included,No free cancellation,Prepayment needed
21,Molokan Inn Hotel ,4,"8 Gogol Street, Sabail, Baku, Azerbaijan",+994 12 494 45 45,info@molokaninnbaku.com,www.molokaninn.az,N/A,384 Reviews,N/A,"Free Wi-Fi, Restaurant, Air-conditioned rooms, Concierge Service, 24-hour reception, Airport shuttle",21,75$,N/A,N/A,2021,25 km,8.5,https://www.booking.com/molokaninnbaku,0.5,Included,Free cancellation,No prepayment needed
22,Promenade Hotel ,5,"38 Sabir Street, Baku, Azerbaijan",+994 12 505 12 12,info@promenadebaku.com,www.promenadebaku.com,N/A,458 Reviews,N/A,"Free Wi-Fi, Restaurant, Rooftop Terrace, Non-smoking rooms, 24-hour reception",50,85$,N/A,N/A,2020,22 km,8.7,https://www.booking.com/promenadehotelbaku,0.7,Included,Free cancellation,No prepayment needed
23,Theatrum Hotel ,5,"16 Samad Vurgun Street, Baku, Azerbaijan",+994 12 565 56 56,info@theatrumhotelbaku.com,www.theatrumhotelbaku.com,N/A,1500 Reviews,N/A,"Free Wi-Fi, Restaurant, Spa, Non-smoking rooms, Conference Facilities",60,120$,N/A,N/A,2021,19 km,9,https://www.booking.com/theatrumhotelbaku,1.2,Included,Free cancellation,No prepayment needed
24,Miraj Hotel ,4,"18 Ahmad Rajabli Street, Baku, Azerbaijan",+994 12 433 45 45,info@mirajhotelbaku.com,www.mirajhotelbaku.com,N/A,168 Reviews,N/A,"Free Wi-Fi, Restaurant, Non-smoking rooms, Fitness Center, 24-hour reception",40,80$,N/A,N/A,2019,18 km,8.3,https://www.booking.com/mirajhotelbaku,2.3,Included,Free cancellation,No prepayment needed
25,Centric  Boutique Hotel,4,"15 Nizami Street, Baku, Azerbaijan",+994 12 450 45 45,info@centricbaku.com,www.centricbaku.com,N/A,194 Reviews,N/A,"Free Wi-Fi, Boutique-style rooms, Non-smoking rooms, Airport shuttle",30,95$,N/A,N/A,2020,21 km,8.6,https://www.booking.com/centricbaku,0.5,Not included,Free cancellation,No prepayment needed
26,Sapphire Bayil ,4,"3 Neftchilar Avenue, Baku, Azerbaijan",+994 12 495 55 55,info@sapphirebayilbaku.com,www.sapphirebayilbaku.com,N/A,342 Reviews,N/A,"Free Wi-Fi, Restaurant, Rooftop Bar, Non-smoking rooms, 24-hour reception",45,100$,N/A,N/A,2020,20 km,8.4,https://www.booking.com/sapphirebayilbaku,3.1,Not included,No free cancellation,Prepayment needed
27,Nobel Hotel ,4,"50 Nobel Avenue, Baku, Azerbaijan",+994 12 567 67 67,info@nobelhotelbaku.com,www.nobelhotelbaku.com,N/A,286 Reviews,N/A,"Free Wi-Fi, Restaurant, Non-smoking rooms, Fitness Center, 24-hour reception",55,85$,N/A,N/A,2019,19 km,8.2,https://www.booking.com/nobelhotelbaku,1.5,Included,Free cancellation,No prepayment needed
28,Seven Rooms Boutique Hotel,4,"7 Bulbul Avenue, Baku, Azerbaijan",+994 12 477 77 77,info@sevenroomsbaku.com,www.sevenroomsbaku.com,N/A,132 Reviews,N/A,"Free Wi-Fi, Boutique-style rooms, Non-smoking rooms, Airport shuttle",20,90$,N/A,N/A,2020,18 km,8.8,https://www.booking.com/sevenroomsbaku,0.2,Included,Free cancellation,No prepayment needed
29,Passage Boutique Hotel,4,"19 Nigar Rafibeyli Street, Baku, Azerbaijan",+994 12 497 19 19,info@passagehotelbaku.com,www.passagehotelbaku.com,N/A,287 Reviews,N/A,"Free Wi-Fi, Restaurant, Non-smoking rooms, 24-hour reception, Airport shuttle",28,65$,N/A,N/A,2021,20 km,8.4,https://www.booking.com/passagehotelbaku,1.7,Included,Free cancellation,No prepayment needed
30,West Shine Hotel ,4,"4 Tabriz Khalilbeyli Street, Baku, Azerbaijan",+994 12 493 66 66,info@westshinehotelbaku.com,www.westshinehotelbaku.com,N/A,197 Reviews,N/A,"Free Wi-Fi, Restaurant, Non-smoking rooms, 24-hour reception, Airport shuttle",30,75$,N/A,N/A,2019,22 km,8.1,https://www.booking.com/westshinehotelbaku,2,Not included,No free cancellation,Prepayment needed
31,Amber Hotel ,4,"29 Jafar Jabbarli Street, Baku, Azerbaijan",+994 12 594 01 49,sales@amberhotel.az,www.amberhotel.az,N/A,138 Reviews,N/A,"Free Wi-Fi, Indoor pool, Nightclub, Conference hall, Restaurant, Non-smoking rooms, 24-hour reception",22,75$,N/A,N/A,2021,28 km,8.2,https://www.booking.com/amberhotelbaku,1.9,Included,Free cancellation,No prepayment needed
32,Teatro Boutique Hotel,4,"16A Narimanov Avenue, Baku, Azerbaijan",+994 12 480 37 00,info@teatroboutiquehotel.com,www.teatroboutiquehotel.com,N/A,236 Reviews,N/A,"Free Wi-Fi, Fitness center, Restaurant, Spa, Non-smoking rooms",40,70$,N/A,N/A,2019,23 km,8.6,https://www.booking.com/teatroboutiquehotel,2.2,Included,Free cancellation,No prepayment needed
33,Modern Hotel Baku ,4,"188 Mirali Gashgai Street, Baku, Azerbaijan",+994 12 449 47 47,info@modernhotelbaku.com,www.modernhotelbaku.com,N/A,2281 Reviews,N/A,"Free Wi-Fi, Restaurant, Fitness center, Non-smoking rooms, 24-hour reception",67,65$,N/A,N/A,2020,25 km,8.4,https://www.booking.com/modernhotelbaku,2.5,Not included,No free cancellation,Prepayment needed
34,New  Baku Hotel,4,"58 Nizami Street, Baku, Azerbaijan",+994 12 495 60 00,info@newbakuhotel.com,www.newbakuhotel.com,N/A,158 Reviews,N/A,"Free Wi-Fi, Restaurant, Spa, Non-smoking rooms, Conference Facilities",45,85$,N/A,N/A,2018,19 km,8.5,https://www.booking.com/newbakuhotel,1.8,Included,Free cancellation,No prepayment needed
35,Opera Hotel ,4,"20 Samed Vurgun Street, Baku, Azerbaijan",+994 12 493 20 20,info@operahotelbaku.com,www.operahotelbaku.com,N/A,119 Reviews,N/A,"Free Wi-Fi, Spa, Fitness center, Non-smoking rooms, Conference Facilities",70,110$,N/A,N/A,2017,18 km,8.8,https://www.booking.com/operahotelbaku,2,Included,Free cancellation,No prepayment needed
36,Ariva Hotel ,4,"22 Ziya Bunyadov Street, Baku, Azerbaijan",+994 12 566 50 01,info@arivahotelbaku.com,www.arivahotelbaku.com,N/A,94 Reviews,N/A,"Free Wi-Fi, Fitness center, Spa, Restaurant, Non-smoking rooms",47,55$,N/A,N/A,2019,20 km,7.9,https://www.booking.com/arivahotelbaku,1.9,Included,No free cancellation,Prepayment needed
37,Caspi Hotel ,3,"1-ci Yashil Ada Ev 7, Baku, Azerbaijan",+994 50 123 45 67,info@caspi-baku.com,www.caspibakuhotel.com,N/A,112 Reviews,N/A,"Free Wi-Fi, 24-hour front desk, Non-smoking rooms",18,40$,N/A,N/A,2017,18 km,8,https://www.booking.com/caspibaku,1.6,Not included,Free cancellation,No prepayment needed
38,Austin Boutique Hotel,4,"27B Afiyeddin Jalilov Street, Baku, Azerbaijan",+994 12 497 57 07,info@austinbaku.com,www.austinboutiquehotel.com,N/A,76 Reviews,N/A,"Free Wi-Fi, Restaurant, Bar, Airport shuttle, Non-smoking rooms",31,65$,N/A,N/A,2018,24 km,8.2,https://www.booking.com/austinboutiquehotel,1.4,Included,Free cancellation,No prepayment needed
39,Rigs Hotel ,3,"76 Boyuk Gala Street, Baku, Azerbaijan",+994 12 496 72 11,info@rigshotel.com,www.rigshotel.com,N/A,154 Reviews,N/A,"Free Wi-Fi, Restaurant, Non-smoking rooms, 24-hour front desk",32,50$,N/A,N/A,2016,26 km,7.8,https://www.booking.com/rigshotel,1.3,Included,Free cancellation,No prepayment needed
40,Kichik Gala Boutique Hotel ,4,"64 Khojali Avenue, Baku, Azerbaijan",+994 12 497 20 45,info@galaboutiquehotel.com,www.galaboutiquehotel.com,N/A,87 Reviews,N/A,"Free Wi-Fi, Restaurant, Terrace, Non-smoking rooms",21,70$,N/A,N/A,2020,19 km,8.5,https://www.booking.com/galaboutiquehotel,0.9,Included,Free cancellation,No prepayment needed
41,Ibis  City Hotel,3,"9 M. Narimanov Street, Baku, Azerbaijan",+994 12 488 89 00,h9622@accor.com,www.ibis.com/baku-city,N/A,1825 Reviews,N/A,"Free Wi-Fi, Fitness center, Restaurant, Bar, 24-hour reception, Non-smoking rooms",202,50$,N/A,N/A,2024,17 km,8.8,https://www.booking.com/ibis-baku-city,4,Included,Free cancellation,No prepayment needed
42,Sunday Hotel ,4,"11A M. R. Rasulzada Street, Baku, Azerbaijan",+994 12 493 30 40,info@sundayhotelbaku.com,www.sundayhotelbaku.com,N/A,204 Reviews,N/A,"Free Wi-Fi, Restaurant, Non-smoking rooms, 24-hour reception",20,45$,N/A,N/A,2018,18 km,8,https://www.booking.com/sundayhotelbaku,2.1,Not included,Free cancellation,Prepayment needed
43,Cafe Terras Hostel,2,"14A Mirza Mansur Street, Baku, Azerbaijan",+994 55 268 02 02,info@cafeterashostel.com,www.cafeterashostel.com,N/A,65 Reviews,N/A,"Free Wi-Fi, Shared kitchen, Terrace, Non-smoking rooms",10,25$,N/A,N/A,2019,19 km,7.5,https://www.booking.com/cafeterashostel,0.3,Included,No free cancellation,Prepayment needed
44,Parallel Hotel ,4,"19 Uzeyir Hajibeyov Street, Baku, Azerbaijan",+994 12 595 10 10,info@parallelhotelbaku.com,www.parallelhotelbaku.com,N/A,800 Reviews,N/A,"Free Wi-Fi, Restaurant, Bar, Non-smoking rooms, 24-hour reception, Airport shuttle",30,60$,N/A,N/A,2020,20 km,8.2,https://www.booking.com/parallelhotelbaku,1.8,Included,Free cancellation,No prepayment needed
45,Sahil Inn Hotel,4,"15 Alovsat Guliyev Street, Baku, Azerbaijan",+994 12 498 88 00,info@sahilinnbaku.com,www.sahilinnbaku.com,N/A,1327 Reviews,N/A,"Free Wi-Fi, Restaurant, Bar, Non-smoking rooms, 24-hour reception, Airport shuttle",25,85$,N/A,N/A,2017,15 km,7.8,https://www.booking.com/sahilinnbaku,2.4,Included,Free cancellation,No prepayment needed
46,Austin Hotel ,4,"63B Zahid Khalilov Street, Baku, Azerbaijan",+994 70 598 08 12,reservation@austin.az,www.austin.az,N/A,96 Reviews,N/A,"Free Wi-Fi, Restaurant, Spa, Fitness center, Indoor pool, Non-smoking rooms",32,65$,N/A,N/A,2020,20 km,8,https://www.booking.com/austin-hotel-baku,1.6,Included,Free cancellation,No prepayment needed
47,Central Park Hotel ,4,"4A Neftchilar Avenue, Baku, Azerbaijan",+994 12 498 99 99,info@centralparkbaku.com,www.centralparkbaku.com,N/A,226 Reviews,N/A,"Free Wi-Fi, Restaurant, Bar, Fitness center, Sauna, Non-smoking rooms",70,75$,N/A,N/A,2019,25 km,8.5,https://www.booking.com/centralparkhotelbaku,1.4,Not included,Free cancellation,No prepayment needed
48,Lake Palace Hotel ,5,"34 Mirza Mansur Street, Baku, Azerbaijan",+994 12 439 31 31,info@lakepalacehotelbaku.com,www.lakepalacehotel.com,N/A,88 Reviews,N/A,"Free Wi-Fi, Restaurant, Spa, Fitness center, Non-smoking rooms, Conference facilities",36,85$,N/A,N/A,2018,30 km,8.7,https://www.booking.com/lakepalacehotelbaku,2.2,Included,Free cancellation,No prepayment needed
49,Sea Port Hotel ,3,"4A Neftchilar Avenue, Baku, Azerbaijan",+994 12 480 14 14,info@seaporthotelbaku.com,www.seaporthotelbaku.com,N/A,78 Reviews,N/A,"Free Wi-Fi, Restaurant, Bar, Non-smoking rooms, 24-hour reception",30,55$,N/A,N/A,2017,24 km,8,https://www.booking.com/seaporthotelbaku,1,Not included,No free cancellation,Prepayment needed
50,Giz Galasi Hotel,3,"34 Mirza Mansur Street, Baku, Azerbaijan",+994 12-497-1785,info@gizgalasihotelbaku.com,www.gizgalasihotelbaku.com,N/A,111 Reviews,N/A,"Free Wi-Fi, Restaurant, Spa, Indoor Pool, Sauna, Fitness Center, Air Conditioning, Business Center, 24-hour Room Service, Hairdryer, Jacuzzi, Separate Shower and Bath",10,50$,N/A,N/A,2017,19 km,7.5,"	https://www.booking.com/gizgalasihotelbaku",0.8,Included,Free cancellation,No prepayment needed
51,Dafne Hotel ,4,"11 Ahmed Javad Street, Baku, Azerbaijan",+994 12 493 12 12,info@dafnehotelbaku.com,www.dafnehotelbaku.com,N/A,64 Reviews,N/A,"Free Wi-Fi, Restaurant, Spa, Fitness center, Non-smoking rooms",40,70$,N/A,N/A,2019,21 km,8.2,https://www.booking.com/dafnehotelbaku,2.1,Not included,No free cancellation,Prepayment needed
52,Venera Hotel ,3,"5 Hasan Seyidbeyli Street, Baku, Azerbaijan",+994 12 492 49 49,info@venerahotelbaku.com,www.venerahotelbaku.com,N/A,93 Reviews,N/A,"Free Wi-Fi, Restaurant, Non-smoking rooms, 24-hour reception",25,45$,N/A,N/A,2018,19 km,7.9,https://www.booking.com/venerahotelbaku,1.9,Included,Free cancellation,No prepayment needed
53,Moon Light Hotel ,4,"24 Asaf Zeynally Street, Baku, Azerbaijan",+994 12 491 60 60,info@moonlighthotelbaku.com,www.moonlighthotelbaku.com,N/A,52 Reviews,N/A,"Free Wi-Fi, Restaurant, Non-smoking rooms, 24-hour reception, Airport shuttle",20,60$,N/A,N/A,2020,23 km,8.3,https://www.booking.com/moonlighthotelbaku,2.5,Included,Free cancellation,No prepayment needed
54,Sapphire Inn Hotel,4,"5 Hasan Abdullayev Street, Sabayil District, Baku, Azerbaijan",+994 12 505 1105,info@sapphireinn.az,www.sapphireinn.az,N/A,491 Reviews,N/A,"Free Wi-Fi, Restaurant and Bar, 24-hour Room Service, Concierge Services, Hair Salon, Airport Shuttle (additional charge)",56,95$,N/A,N/A,2013,21.1 km,4.1,https://www.trip.com/hotels/baku-hotel-detail-17412685/sapphire-inn-hotel/,1.3,Included,Free cancellation,No prepayment needed
55,Alp Inn Hotel ,4,"82 Azadlig Avenue, Baku, Azerbaijan",+994 12 435 35 35,info@alpinnbaku.com,www.alpinnbaku.com,N/A,182 Reviews,N/A,"Free Wi-Fi, Restaurant, Fitness center, Non-smoking rooms",50,75$,N/A,N/A,2019,18 km,8.6,https://www.booking.com/alpinnhotelbaku,2,Included,No free cancellation,Prepayment needed
56,Wyndham Hotel ,5,"12 Alasgar Gayibov Street, Baku, Azerbaijan",+994 12 567 00 77,info@wyndhambaku.com,www.wyndhambaku.com,N/A,457 Reviews,N/A,"Free Wi-Fi, Spa, Turkish Hammam, Indoor Pool, Fitness Center, Conference Facilities, Non-smoking rooms",123,120$,N/A,N/A,2017,20 km,8,https://www.booking.com/wyndham-baku,0.2,Not included,No free cancellation,Prepayment needed
57,Sky Hotel ,4,"26 Mammad Araz Street, Baku, Azerbaijan",+994 12 511 44 55,info@skyhotelbaku.com,www.skyhotelbaku.com,N/A,134 Reviews,N/A,"Free Wi-Fi, Restaurant, Fitness Center, Non-smoking rooms, Airport shuttle",50,90$,N/A,N/A,2019,22 km,8.2,https://www.booking.com/skyhotelbaku,2.3,Included,Free cancellation,No prepayment needed
58,Diamond Hotel ,4,"27 Teymur Elchin Street, Baku, Azerbaijan",+994 12 432 35 35,info@diamondhotelbaku.com,www.diamondhotelbaku.com,N/A,178 Reviews,N/A,"Free Wi-Fi, Restaurant, Spa, Fitness Center, Non-smoking rooms",60,85$,N/A,N/A,2020,23 km,8.3,https://www.booking.com/diamondhotelbaku,3.7,Not included,No free cancellation,Prepayment needed
59,Ammar Grand Hotel ,4,"15 Nobel Avenue, Baku, Azerbaijan",+994 12 499 88 22,info@ammargrandhotel.com,www.ammargrandhotel.com,N/A,141 Reviews,N/A,"Free Wi-Fi, Spa, Fitness Center, Restaurant, Non-smoking rooms, Conference Facilities",110,100$,N/A,N/A,2018,19 km,8.6,https://www.booking.com/ammargrandhotel,3.4,Included,Free cancellation,No prepayment needed
60,Auroom Hotel ,4,"18 Mammad Araz Street, Baku, Azerbaijan",+994 12 465 78 90,info@auroomhotelbaku.com,www.auroomhotelbaku.com,N/A,212 Reviews,N/A,"Free Wi-Fi, Restaurant, Spa, Fitness Center, Non-smoking rooms",45,95$,N/A,N/A,2019,20 km,8.4,https://www.booking.com/auroomhotelbaku,2.5,Included,Free cancellation,No prepayment needed
61,Alba Hotel & Spa,5,"10 Azadlig Avenue, Baku, Azerbaijan",+994 12 478 47 47,info@albahotelspa.com,www.albahotelspa.com,N/A,1555 Reviews,N/A,"Free Wi-Fi, Spa, Fitness Center, Indoor Pool, Non-smoking rooms, Airport shuttle",75,85$,N/A,N/A,2021,18 km,8.8,https://www.booking.com/albahotelspa,4.8,Included,No free cancellation,Prepayment needed
62,Harmony Hotel ,4,"16 Zarifa Aliyeva Street, Baku, Azerbaijan",+994 12 434 22 22,info@harmonyhotelbaku.com,www.harmonyhotelbaku.com,N/A,145 Reviews,N/A,"Free Wi-Fi, Restaurant, Non-smoking rooms, 24-hour reception, Airport shuttle",55,120$,N/A,N/A,2020,21 km,8.5,https://www.booking.com/harmonyhotelbaku,3.4,Included,Free cancellation,No prepayment needed
63,Ganjali Plaza Hotel,4,"14 Fuzuli Street, Baku, Azerbaijan",+994 12 492 32 32,info@ganjaliplazahotel.com,www.ganjaliplazahotel.com,N/A,198 Reviews,N/A,"Free Wi-Fi, Restaurant, Fitness Center, Non-smoking rooms, Conference Facilities",70,60$,N/A,N/A,2017,24 km,8.1,https://www.booking.com/ganjaliplazahotel,1.7,Included,Free cancellation,No prepayment needed
64,Grand Midway Hotel ,4,"8 Nizami Street, Baku, Azerbaijan",+994 12 493 66 66,info@grandmidwayhotelbaku.com,www.grandmidwayhotelbaku.com,N/A,110 Reviews,N/A,"Free Wi-Fi, Restaurant, Spa, Non-smoking rooms, 24-hour reception",40,65$,N/A,N/A,2018,20 km,8.3,https://www.booking.com/grandmidwayhotelbaku,0.4,Included,Free cancellation,No prepayment needed
65,Ivy Garden Hotel ,5,"5 Mikayil Huseynov Street, Baku, Azerbaijan",+994 12 490 22 22,info@ivygardenhotel.com,www.ivygardenhotel.com,N/A,94 Reviews,N/A,"Free Wi-Fi, Restaurant, Spa, Indoor Pool, Fitness Center, Non-smoking rooms",90,150$,N/A,N/A,2022,17 km,9,https://www.booking.com/ivygardenhotel,1.9,Included,No free cancellation,Prepayment needed
66,Maestro Hotel,4,"30 Rastrapovich Street, Baku, Azerbaijan",+994 55 918 00 12,info@maestrohotel.az,www.maestrohotel.az,N/A,158 Reviews,N/A,"Free Wi-Fi, Restaurant, Airport shuttle, Non-smoking rooms, 24-hour reception",28,60$,N/A,N/A,2020,25 km,8.2,https://www.booking.com/maestrohotelbaku,1.2,Included,Free cancellation,No prepayment needed
